date,statement_urls
2020-01-29,/newsevents/pressreleases/monetary20200129a.htm
2019-01-30,/newsevents/pressreleases/monetary20190130a.htm
2019-03-20,/newsevents/pressreleases/monetary20190320a.htm
2019-05-01,/newsevents/pressreleases/monetary20190501a.htm
2019-06-19,/newsevents/pressreleases/monetary20190619a.htm
2019-07-31,/newsevents/pressreleases/monetary20190731a.htm
2019-09-18,/newsevents/pressreleases/monetary20190918a.htm
2019-10-11,/newsevents/pressreleases/monetary20191011a.htm
2019-10-30,/newsevents/pressreleases/monetary20191030a.htm
2019-12-11,/newsevents/pressreleases/monetary20191211a.htm
2018-01-31,/newsevents/pressreleases/monetary20180131a.htm
2018-03-21,/newsevents/pressreleases/monetary20180321a.htm
2018-05-02,/newsevents/pressreleases/monetary20180502a.htm
2018-06-13,/newsevents/pressreleases/monetary20180613a.htm
2018-08-01,/newsevents/pressreleases/monetary20180801a.htm
2018-09-26,/newsevents/pressreleases/monetary20180926a.htm
2018-11-08,/newsevents/pressreleases/monetary20181108a.htm
2018-12-19,/newsevents/pressreleases/monetary20181219a.htm
2017-02-01,/newsevents/pressreleases/monetary20170201a.htm
2017-03-15,/newsevents/pressreleases/monetary20170315a.htm
2017-05-03,/newsevents/pressreleases/monetary20170503a.htm
2017-06-14,/newsevents/pressreleases/monetary20170614a.htm
2017-07-26,/newsevents/pressreleases/monetary20170726a.htm
2017-09-20,/newsevents/pressreleases/monetary20170920a.htm
2017-11-01,/newsevents/pressreleases/monetary20171101a.htm
2017-12-13,/newsevents/pressreleases/monetary20171213a.htm
2016-01-27,/newsevents/pressreleases/monetary20160127a.htm
2016-03-16,/newsevents/pressreleases/monetary20160316a.htm
2016-04-27,/newsevents/pressreleases/monetary20160427a.htm
2016-06-15,/newsevents/pressreleases/monetary20160615a.htm
2016-07-27,/newsevents/pressreleases/monetary20160727a.htm
2016-09-21,/newsevents/pressreleases/monetary20160921a.htm
2016-11-02,/newsevents/pressreleases/monetary20161102a.htm
2016-12-14,/newsevents/pressreleases/monetary20161214a.htm
2015-01-28,/newsevents/pressreleases/monetary20150128a.htm
2015-03-18,/newsevents/pressreleases/monetary20150318a.htm
2015-04-29,/newsevents/pressreleases/monetary20150429a.htm
2015-06-17,/newsevents/pressreleases/monetary20150617a.htm
2015-07-29,/newsevents/pressreleases/monetary20150729a.htm
2015-09-17,/newsevents/pressreleases/monetary20150917a.htm
2015-10-28,/newsevents/pressreleases/monetary20151028a.htm
2015-12-16,/newsevents/pressreleases/monetary20151216a.htm
